Date and Time Created,User Name,Tweet for covid
Date and Time Created,User Name,Tweet for covid
2020-05-12 21:02:46,WVUFan54,b'RT Physicians nurses and staff celebrated the recovery of a COVID-19 patient who spent more than a month in the hospi\xe2\x80\xa6'
2020-05-12 21:02:46,mspscheer,b'Inadvertently got exposed to a large group of people last Thursday Feeling like shit today Sore throat heada https://t.co/fJYIwRv4YF'
2020-05-12 21:02:46,Crystal82028223,b'Despite Early Warnings U.S Took Months To Expand Swab Production For COVID-19 Test https://t.co/Zd9UiBEyiZ'
2020-05-12 21:02:46,oliviascloset13,b'RT Full section of information on safe working available from https://t.co/jhvtFLoOgw Many questions answered and some re\xe2\x80\xa6'
2020-05-12 21:02:46,himmoderator,b'Whoa The NYC Board of Correction has renovated its pandemic data page Take a look! #NYC #jail #Rikers #covid19 https://t.co/dNxDrLLLUO'
2020-05-12 21:02:46,PhilippeAbeille,b'Video Plandemic Documentary The Hidden Agenda Behind COVID-19 https://t.co/c6QdlOyLr9 via'
2020-05-12 21:02:46,mariasamerson,b'RT Warren County Kentucky where Rand Paul lives has more COVID-19 cases per capita than 51 of the 67 counties in New Eng\xe2\x80\xa6'
2020-05-12 21:02:45,britwaring,b'RT Catch me on the on radio this morning at 7:05 We are going to be talking about the how COVID\xe2\x80\xa6'
2020-05-12 21:02:45,GibraltarZA,b'RT Watch SARS Commissioner Edward Kieswetter makes valid points about the purpose of the lockdown That it was to make n\xe2\x80\xa6'
2020-05-12 21:02:45,DawnRoseTurner,b'RT Thanks for featuring our upcycled sew and no-sew face masks \xe2\x9c\x82\xef\xb8\x8f\xf0\x9f\x91\x95 Find the instructions for making them \xf0\x9f\x91\x89https\xe2\x80\xa6'
2020-05-12 21:02:45,AY_ikeja,b'RT Worth saying again Nigeria did not \xe2\x80\x9corder the alleged Covid-19 cure from Madagascar We got an allocation Many other A\xe2\x80\xa6'
2020-05-12 21:02:45,uuponline,b'RT Dr Seamus O\xe2\x80\x99Reilly Medical Director has confirmed that over the past six weeks 24 members of staff across two wards in Ant\xe2\x80\xa6'
2020-05-12 21:02:45,Shel23817156,b'RT You can look back my previous tweets I have said for ages that the Scottish Gov is a criminal enterprise It now seems to\xe2\x80\xa6'
2020-05-12 21:02:45,covfeferulez1,b'i believe can handle it all--Gen Flynn had his life destroyed for no reason--are we just supposed to put hi https://t.co/QIb68T9sqt'
2020-05-12 21:02:45,BJWahlstrom,b'RT If 80 of Americans Wore Masks COVID-19 Infections Would Plummet New Study Says https://t.co/z5M1zhaHOM via \xe2\x80\xa6'
2020-05-12 21:02:45,srk908,b'RT Dr Anthony Fauci says the US death toll is \xe2\x80\x9calmost certainly higher than what is currently being reported As an example\xe2\x80\xa6'
2020-05-12 21:02:45,Hylo67,b'There\xe2\x80\x99s people on Covid that are earning more than before teachers and lot of civil servants hope thi https://t.co/ajHVB5xQvv'
2020-05-12 21:02:45,garris_rick,b'RT We really should be planning for how to run our economy for the next year (*year* under COVID conditions as we create r\xe2\x80\xa6'
2020-05-12 21:02:45,edaalberta,"b""RT May 13 at 10 a.m. we're hosting a free webinar on Revisiting Your Business Model During the COVID-19 Crisis from a te\xe2\x80\xa6"""
2020-05-12 21:02:45,Challis46666988,b'RT Ex-ambassador asks why Trump was depending so much on China for all the info about COVID-19 https://t.co/ZVFmJx8NXP'
2020-05-12 21:02:45,usagreatnow,b'RT The liberal elite\xe2\x80\x99s fury over Boris\xe2\x80\x99s mild easing of the lockdown confirms how much they distrust the public They view u\xe2\x80\xa6'
2020-05-12 21:02:45,NWOisComingSoon,b'RT The Federal government just purchased 550 million vaccination syringes with needles (bulk pricing is ~$0.20 each) The populati\xe2\x80\xa6'
2020-05-12 21:02:45,MLoughMacon,"b""RT If you catch coronavirus at work who's responsible https://t.co/EMk5OLRaT3"""
2020-05-12 21:02:45,josh_icloud,b'RT (2/2 McConnell and Trump are refusing to meet this moment with a serious economic recovery plan and McConnell is doing\xe2\x80\xa6'
2020-05-12 21:02:44,MccOpinions,"b'RT Of the 22,049 people who have died with Covid in English hospitals only 31 were aged under 40 and had no underlying health\xe2\x80\xa6'"
2020-05-12 21:02:44,mcphn,b'RT NEW we\xe2\x80\x99ve updated our excess mortality tracker the gold-standard measure for Covid deaths allowing like-for-like compa\xe2\x80\xa6'
2020-05-12 21:02:44,bertbohosouth,b'RT Novel diseases like covid-19 are being trigged in large part by industrial encroachment into forests and other natural eco\xe2\x80\xa6'
2020-05-12 21:02:44,Elton35862558,b'_Chichava COVID-15'
2020-05-12 21:02:44,StinsonTimothy,b'RT South Dakota Gov Kristi Noem demanded tribes remove checkpoints in an effort to re-open the state The Cheyenne River Sioux\xe2\x80\xa6'
2020-05-12 21:02:44,OddZombie,b'RT Coronavirus outbreak at oilsands site that spread across 5 provinces sparks calls to limit fly-in workers https://t.co/3oxg\xe2\x80\xa6'
2020-05-12 21:02:44,NatalieSuther20,b'Why is anyone in this country paying for a Covid test?'
2020-05-12 21:02:44,sustopramen_,b'\xe2\x80\x9cMasked (2020 is an ongoing series which focuses on understanding yourself in the time of the COVID-19 pandemic. https://t.co/6gyn3oio3H'
2020-05-12 21:02:44,udeh_ifechukwu,b'RT They said it that after COVID-19 that they will attack biafra land We are in danger of fulanis but they plan will cons\xe2\x80\xa6'
2020-05-12 21:02:44,klkolz,b'Trump Labor Department Encourages States to Help Employers Report Workers Who Stay Home Due to Covid-19 Fears - https://t.co/GxilyeM8dd'
2020-05-12 21:02:44,jimlb314,"b'RT BREAKING Dr Fauci just testified that the COVID-19 death toll is likely meaningfully higher than the 80,000 reported.'"
2020-05-12 21:02:44,mary_swilling,"b""RT Is it just me or does Laura Ingraham ( come across as Rosemary's Baby's aborted cousin? #LauraIngraham #GOPCo\xe2\x80\xa6"""
2020-05-12 21:02:44,iproofer1,"b""RT Vladimir Putin\xe2\x80\x99s spokesman has been hospitalized with the coronavirus So apparently Russia's efforts to control COVID-19\xe2\x80\xa6"""
2020-05-12 21:02:44,FloydPa95304014,b'RT Hate has killed more people than covid-19 ever will.'
2020-05-12 21:02:44,KellyFought,"b""Democrats unveil $3 trillion Covid relief package Republicans warn bill is 'dead on arrival' https://t.co/NTwrosUihZ"""
2020-05-12 21:02:44,jskap_,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:44,julianjmorgan1,b'The Covid Collection??'
2020-05-12 21:02:44,Farmland,b'RT After 30 years of being shut out the Small Business Administration just allowed farmers to apply for economic disaster loa\xe2\x80\xa6'
2020-05-12 21:02:44,LKBinNC,b'RT This new Joe Biden ad rips into Trump for his COVID-19 response https://t.co/PX1eV1Dcl0'
2020-05-12 21:02:44,_johnnyjazz,b'RT When BBC tell you COVID deaths aren\xe2\x80\x99t so bad now remember these new death numbers in Europe today UK 627 deat\xe2\x80\xa6'
2020-05-12 21:02:44,willbardwell,b'The COVID mortality rate is around 1 out of every 100 cases How certain are we that the Tour can keep total exposu https://t.co/j1O5OHFflL'
2020-05-12 21:02:43,NatfordPreston,b'RT Why manslaughter He deliberately spat at her knowing he had Covid she died He killed her deliberate\xe2\x80\xa6'
2020-05-12 21:02:43,creubell,b'RT #okstate\xe2\x80\x99s veterinary lab has been vital to Oklahoma\xe2\x80\x99s #COVID19 testing The lab has run more tests than any other in OK with\xe2\x80\xa6'
2020-05-12 21:02:43,Intlatm,b'RT International Day of the Nurse is a special day to express gratitude to the phenomenal nurses working round the clock to\xe2\x80\xa6'
2020-05-12 21:02:43,Krejcikova13,b'RT States and the federal government need to act with urgency now to make sure people don\xe2\x80\x99t effectively lose their right t\xe2\x80\xa6'
2020-05-12 21:02:43,Sintierra7,b'RT Rep Maxine Waters who last month stood on the House floor and dedicated her support for a coronavirus relief package to\xe2\x80\xa6'
2020-05-12 21:02:43,Vickybr32546672,b'RT A group of independent scientists has branded Boris Johnson\xe2\x80\x99s easing of the lockdown \xe2\x80\x9cdangerous and warned that further lo\xe2\x80\xa6'
2020-05-12 21:02:43,AmaBOforiD,b'RT A man who had Covid-19 spat and coughed on Belly Mujinga a Black woman working in London Victoria with the intention\xe2\x80\xa6'
2020-05-12 21:02:43,MrM_ERUSD,b'RT Beginning Tues 5/12 Pico Rivera will offer free drive through COVID 19 tests to residents of Pico Rivera These tests are\xe2\x80\xa6'
2020-05-12 21:02:43,LouieLeonardoLL,b'RT Stanford antibody study walks back earlier estimate that one California county had 80K coronavirus cases https://t.co/WZI4I3\xe2\x80\xa6'
2020-05-12 21:02:43,dantesco755,b'RT Despite amplifying Chinese propaganda that there was no \xe2\x80\x9chuman to human transmission of coronavirus on January 14 a WHO\xe2\x80\xa6'
2020-05-12 21:02:43,queenannaoye,b'RT On the 31st March I lost my grandma to COVID-19 I started a GoFundMe to help with the cost of the funeral arrangements A\xe2\x80\xa6'
2020-05-12 21:02:43,TaniaGroth,b'RT The liberal elite\xe2\x80\x99s fury over Boris\xe2\x80\x99s mild easing of the lockdown confirms how much they distrust the public They view u\xe2\x80\xa6'
2020-05-12 21:02:43,jjdonkersgoed,"b""RT BREAKING The CNE has announced that this year's event will be cancelled due to the COVID-19 pandemic It is only the second time\xe2\x80\xa6"""
2020-05-12 21:02:43,BarbaraGoggin4,b'RT Watch Outrageous Cuomo Now Calls COVID-19 The \xe2\x80\x98European Virus\xe2\x80\x99 READ MORE https://t.co/DZ8kUOAeM5'
2020-05-12 21:02:43,Mer_Missa_,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:43,8712patriciaac,b'RT Trump and the Republicans are gonna kill an extra hundred thousand and still wreck the economy This is what happens when\xe2\x80\xa6'
2020-05-12 21:02:43,lindawadman,b'RT When I asked Dr Scott Atlas today on my show about the prospect of using tracers to track down cases of covid-19 at this st\xe2\x80\xa6'
2020-05-12 21:02:43,jasminham,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:43,clive_uttley,"b""RT Hope so...not sure what's happening with COVID...but at least let's get Brexit done and dusted!"""
2020-05-12 21:02:43,Sofia03336,b'RT The ever zealous police have really surpassed themselves they are taking a homeless man to court under covid rules f\xe2\x80\xa6'
2020-05-12 21:02:43,Aneelakhan1,b'RT Experts say we\xe2\x80\x99ll need to track everyone who has come in contact with a COVID-19 patient to stop new chains of infecti\xe2\x80\xa6'
2020-05-12 21:02:43,justin4asu,"b""RT Now that's three CDC studies\xe2\x80\x94from a Chinese restaurant a Korean call center and an American choir practice\xe2\x80\x94all finding that\xe2\x80\xa6"""
2020-05-12 21:02:42,aqurab,b'RT #EmergencyRelief and #FoodKits distributed by #MarkazulMaarif a unit of #AjmalCSR in #Assam on 11 and 12 May 2020 during #Covi\xe2\x80\xa6'
2020-05-12 21:02:42,_devyp,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:42,CharlieInUtah,"b'RT _Pierce The City of Fort Pierce is offering free COVID-19 testing without the need for an appointment Thursday May 14 and Friday,\xe2\x80\xa6'"
2020-05-12 21:02:42,mcallister,"b""RT UPDATE Ontario's top doctor says he does not feel confident that the province has met the threshold to start on its econom\xe2\x80\xa6"""
2020-05-12 21:02:42,justyumdrew,b'RT if covid-19 was a stan account https://t.co/PeP85Vjopv'
2020-05-12 21:02:42,TomJurgen,b'RT This from a paper that while it never deemed Johnson fit to be its editor has championed him as prime minister more\xe2\x80\xa6'
2020-05-12 21:02:42,chriso2301,b'Then stay the fuck home I would rather live free then be afraid to https://t.co/DOmNu5vH55'
2020-05-12 21:02:42,lilyeonho,b'i already struggled with school work especially (and mostly at home bc of my mental health + https://t.co/WzlESOualh'
2020-05-12 21:02:42,RubyGonzales2,b'RT \xe2\x80\x9cThere doesn\xe2\x80\x99t appear to be any mechanism whatsoever to ensure that these loans were available only to companies that\xe2\x80\xa6'
2020-05-12 21:02:42,tomg1114,b'RT So 0.5 of NYC is dead from COVID unemployment is approaching levels my grandparents talked about and you can see my brea\xe2\x80\xa6'
2020-05-12 21:02:42,Umar_YB,"b'RT Dear , This is how deplorable this PHC Centre in Dallaje Bindawa LG of Katsina State Nigeria is We urg\xe2\x80\xa6'"
2020-05-12 21:02:42,skhowden,b'RT https://t.co/wUQHltNWbd Sir David Norgrove chair of the Statistics Authority suggested the way daily testing figures wer\xe2\x80\xa6'
2020-05-12 21:02:42,watanpal12,"b""RT Message from PTM's leader about having been tested positive for COVID-19 He is fine and is going to get\xe2\x80\xa6"""
2020-05-12 21:02:42,speakout_april,b'RT Worth recalling Rand Paul was one of the biggest more destructive spreaders of misinformation and panic about how Ebola ma\xe2\x80\xa6'
2020-05-12 21:02:42,FebruarysRebel,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:42,MamaIsStillPis3,b'RT Trump and the Republicans are gonna kill an extra hundred thousand and still wreck the economy This is what happens when\xe2\x80\xa6'
2020-05-12 21:02:42,DevonMcCardel,"b""RT Vladimir Putin\xe2\x80\x99s spokesman has been hospitalized with the coronavirus So apparently Russia's efforts to control COVID-19\xe2\x80\xa6"""
2020-05-12 21:02:42,msbston,"b""RT UAB doctor says Alabama isn't ready to reopen \xe2\x80\x9cI\xe2\x80\x99m 42 and I have no chronic medical conditions The fact that despit\xe2\x80\xa6"""
2020-05-12 21:02:42,rufflaw,b'RT Bill Gates will devote all of his philanthropic resources to taking on Covid-19'
2020-05-12 21:02:42,BDBgoldens3,"b""RT UK's #COVID19 death toll tops 38,000 worst in Europe https://t.co/qd3DwxTUDJ"""
2020-05-12 21:02:42,woshesgc,b'RT covid a eu https://t.co/fJ6lwI7nx4'
2020-05-12 21:02:42,christasgould,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:42,diane43428911,b'RT Wonder if this Senate committee will have the courage to ask Fauci about his financial interests in Gilead Sciences Remdesivir\xe2\x80\xa6'
2020-05-12 21:02:42,peruzzi1,b'RT Trump and the Republicans are gonna kill an extra hundred thousand and still wreck the economy This is what happens when\xe2\x80\xa6'
2020-05-12 21:02:42,DougieBrownPT,"b""RT Loved reading about this young penpal scheme in today https://t.co/kfJAc4WGiI It's great to see young pe\xe2\x80\xa6"""
2020-05-12 21:02:42,Rizzman3,b'Agreed The world was heading this direction slowly before COVID simply accelerated the time to adoptio https://t.co/c0Qs1nPpNW'
2020-05-12 21:02:42,seunAfolabi06,b'RT COVID-19 No drug can be distributed unless registered FG https://t.co/1ewEPRp3AB'
2020-05-12 21:02:42,SCDCA,b'RT The fake sites can look real They\xe2\x80\x99re taking people\xe2\x80\x99s personal information including Social Security numbers credit card\xe2\x80\xa6'
2020-05-12 21:02:42,Cath_Njuguna,b'RT _lava responds to questions on germplasm health issues at the next Live Q and A session on the relationship betw\xe2\x80\xa6'
2020-05-12 21:02:42,ytowngamedev,b'Gaming Software (COVID-19 Impact Thematic Research https://t.co/q55LAaaa9Y https://t.co/s5ZE6GLzi5'
2020-05-12 21:02:41,Gazthomson,b'I can\xe2\x80\x99t believe there\xe2\x80\x99s people here trying to justify the U.Ks record on Covid deaths The t https://t.co/xt4YNPgdAd'
2020-05-12 21:02:41,EnricBarba,b'RT VHIO- as well as 6 other leading #cancer treatment centers have taken important measures to protect patients from #C\xe2\x80\xa6'
2020-05-12 21:02:41,JessyHrh,b'RT In a post-COVID South Africa where unemployment is expected to pass the 40 mark &amp Nedbank expects that 1.6million S\xe2\x80\xa6'
2020-05-12 21:02:41,coria_analise,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:41,RVelez1018,b'RT Doctor called I am COVID free and IMMUNE Woooooooo!!!'
2020-05-12 21:02:41,Blueprint_ng,b'Minister to engage expertise on curb COVID-19 fight https://t.co/iT6QS4D9IP'
2020-05-12 21:02:41,Jay64358116,b'RT Leftist Blog Jezebel Publishes Article Saying Author Will \xe2\x80\x98Be Thrilled If Stephen Miller Dies of Covid-19\xe2\x80\x99 Trump Campaign R\xe2\x80\xa6'
2020-05-12 21:02:41,mickjj,b'RT The Flu has been around forever. We still haven\xe2\x80\x99t beat it. \xe2\x80\x9cFlu Vaccines used by over a 100 million people a year can\xe2\x80\xa6'
2020-05-12 21:02:41,emmakennett,"b'RT \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f Be a and pledge your support right now to https://t.co/5swHM6Qfiv ""A ray of hope for arts and community after\xe2\x80\xa6'"
2020-05-12 21:02:41,jsmolinski,"b""No he's in the process Covid came at an bad time for him He's gotten approval from courts. https://t.co/hJRs0Zh3yT"""
2020-05-12 21:02:41,TProphet,b'RT If only our government was capable of giving updates on the COVID-19 situation with the same level of detail and clarity a\xe2\x80\xa6'
2020-05-12 21:02:41,SharonSharonh10,b'RT I did not have the emergence of a COVID fan club on my 2020 Apocalypse Bingo Card but reading some MAGA Twitter feeds sh\xe2\x80\xa6'
2020-05-12 21:02:41,si_munnyXX,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:41,ds13_manon,b'RT Are ppl really going to let the giant arse continue to destroy their jobs cancel their leisure and ban their h\xe2\x80\xa6'
2020-05-12 21:02:41,MaryEBryant2,b'RT Trump and the Republicans are gonna kill an extra hundred thousand and still wreck the economy This is what happens when\xe2\x80\xa6'
2020-05-12 21:02:41,jjj5819,b'RT Documents marked \xe2\x80\x98not for distribution reveal Georgia is unprepared for COVID-19 surge https://t.co/BsCnhDyQda'
2020-05-12 21:02:41,karmagirlincali,b'RT Nancy Pelosi wants to spend $3 TRILLION on new COVID-19 Bill (*Planned Parenthood COUGH *Mail-In Voting* COUGH COUGH)\xe2\x80\xa6'
2020-05-12 21:02:41,cerodri4,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:41,g_ratnam,b'RT Previously manual contact tracing was used during pandemics Now the MIT Media Lab-hosted Safe Paths Project app can\xe2\x80\xa6'
2020-05-12 21:02:40,lizditz,b'RT I had a lab run blood serum antibody test last week Just got results I had Covid 19 in February.'
2020-05-12 21:02:40,nickicheila,b'RT On the 31st March I lost my grandma to COVID-19 I started a GoFundMe to help with the cost of the funeral arrangements A\xe2\x80\xa6'
